"energy0","","energy1","","energy2",""
"41.03857658","0.4870601427","41.03857658","1.590130127","15.02292652","0.3105479492"
"43.05422664","0.3765951386","43.05422664","0.7390396157","39.02292652","2.550968867"
"55.05422664","4.237590761","44.04947561","2.110921555","41.03857658","17.08889155"
"57.0334912","0.1194127007","46.06512568","1.462256278","42.03382555","0.3102436981"
"57.06987671","0.6526340165","55.05422664","5.842561395","43.05422664","8.764001795"
"59.04914126","0.4863374119","57.06987671","1.267801828","44.04947561","0.9068659023"
"59.08552677","0.4449234501","61.06479133","0.4583962686","45.06987671","1.396775137"
"61.06479133","0.210239764","71.01275576","0.5633787859","46.06512568","0.6284588011"
"71.04914126","0.7304378016","72.08077574","2.472634326","55.05422664","25.99457049"
"72.08077574","0.3700542794","73.06479133","7.280219784","57.0334912","2.220048993"
"73.06479133","8.892142402","74.02365479","2.268661137","57.06987671","11.37265267"
"74.02365479","0.7607403035","75.08044139","0.8577909113","59.04914126","1.430713685"
"75.08044139","0.863505617","82.06512568","2.925891155","59.08552677","1.178478496"
"84.08077574","1.340103918","83.04914126","0.5433469552","61.06479133","0.6647315128"
"85.06479133","1.451394788","84.08077574","5.440927906","70.06512568","1.048243046"
"86.0964258","1.427808161","85.06479133","3.865831141","71.01275576","0.3320572101"
"87.08044139","0.4552983958","86.0964258","11.7254727","71.04914126","1.986908819"
"88.03930485","0.5350212936","87.08044139","2.68381815","72.08077574","2.886067545"
"90.05495492","0.3176684947","88.03930485","1.000388972","73.06479133","8.941694882"
"99.04405588","0.4381834911","90.05495492","0.6853637406","74.02365479","0.3364673667"
"100.0756904","0.4748449069","100.0756904","1.545025054","74.0964258","1.029978286"
"101.0597059","0.1820377361","102.0913404","7.98598715","75.08044139","1.749361939"
"102.0913404","8.001945394","104.1069905","4.61169872","84.08077574","1.17205192"
"104.1069905","2.346139573","112.0756904","1.952008878","85.06479133","0.850734334"
"112.0756904","1.532970097","113.0597059","4.865532337","86.0964258","1.515768699"
"113.0597059","6.406875039","116.070605","0.8667153096","88.03930485","0.4550696896"
"116.070605","1.839299247","118.086255","0.7092658247","92.07060498","0.3864806183"
"118.086255","0.7777055578","120.1019051","0.4926581277","102.0913404","1.008309501"
"130.086255","21.78543907","130.086255","12.45597293","113.0597059","0.6398878145"
"131.0702706","12.29470881","131.0702706","4.036028636","130.086255","0.4570974806"
"148.0968197","19.76088224","148.0968197","4.69427431","132.0655196","0.38587131"
