"Low","","Media","","Alta",""
"27.0234751","0.0677957747","27.0234751","0.4378445856","27.0234751","6.151684321"
"41.03912516","0.0721565722","41.03912516","0.5085158931","41.03912516","2.550457426"
"44.99765427","0.1029692904","51.0234751","2.037199267","44.99765427","0.8799799802"
"49.0289544","0.0529748","53.03912516","0.8817847082","51.0234751","4.817592955"
"51.0234751","0.1886588439","55.01838972","1.768331703","53.03912516","1.25373514"
"53.03912516","0.1162731253","55.05477522","0.8131316244","55.01838972","3.670788192"
"55.01838972","0.282709739","65.03912516","0.4275132173","65.03912516","2.796226503"
"67.01838972","0.063071134","67.01838972","0.5673615481","67.01838972","2.724118284"
"69.03403978","0.0430638142","69.03403978","0.3192024933","69.03403978","0.7152541167"
"71.01330434","1.157016733","71.01330434","5.561957251","71.01330434","6.554284247"
"73.0289544","0.1381733377","73.0289544","0.3591759929","73.0289544","1.017965295"
"85.0289544","0.0779820504","77.03912516","0.526451427","75.0234751","6.401385134"
"93.03403978","1.418636345","85.0289544","0.5461520069","77.03912516","4.259881563"
"95.01330434","0.057425245","87.04460446","0.3188383436","79.01838972","0.8040055302"
"95.04968984","0.7850639603","89.03912516","1.820041313","85.0289544","0.6336914723"
"97.0289544","0.0399233723","91.05477522","0.4889687523","89.03912516","10.50089388"
"105.0340398","0.0418740652","93.03403978","3.719703473","91.01838972","0.5605504239"
"111.008219","0.05204113","95.04968984","2.197460631","91.05477522","2.486762737"
"117.0340398","1.14142398","103.0547752","0.3106144282","93.03403978","8.947563828"
"119.0133043","0.0641927472","105.0340398","0.3017646628","95.01330434","0.602196953"
"119.0496898","10.12365906","115.0183897","1.515389334","95.04968984","1.156345363"
"121.0289544","0.0928619452","117.0340398","3.011695507","103.0547752","4.403711219"
"121.0653399","1.00213212","119.0133043","0.3400027736","105.0340398","1.105151885"
"123.0446045","0.0538645474","119.0496898","28.72997494","117.0340398","6.674634224"
"133.0289544","0.07687732","121.0289544","0.4542822887","119.0133043","1.52844082"
"135.0446045","0.0685540727","121.0653399","2.110115087","119.0496898","11.05270894"
"137.023869","0.1120085937","133.0289544","0.5163039383","121.0289544","0.5558141636"
"139.0395191","0.0994392092","135.0446045","2.052618598","121.0653399","1.38472679"
"147.0446045","37.16885125","139.0395191","0.303038511","137.023869","0.5530919104"
"149.023869","0.2327045605","147.0446045","22.85574573","139.0395191","0.6044678895"
"165.0551691","45.00562127","165.0551691","14.19881998","147.0446045","2.651888815"
"165.0551691 45.00562127","","","","",""
